Ensembl Gene ID	Associated Gene Name
C16C2.2	eat-16
F25F8.2	glc-2
T10E9.8	T10E9.8
Y87G2A.4	aex-6
Y106G6E.4	Y106G6E.4
Y48G1BM.6	Y48G1BM.6
F39H11.5	pbs-7
F57B10.12	mei-2
C53H9.2	C53H9.2
F37D6.2	F37D6.2
F36F2.5	tax-2
C06A5.4	C06A5.4
ZK1053.6	ZK1053.6
T15D6.8	T15D6.8
T09E11.10	T09E11.10
F53B6.4	F53B6.4
R119.5	R119.5
ZK973.10	lpd-5
D1007.18	D1007.18
C26C6.1	pbrm-1
F54C1.1	F54C1.1
F15H9.4	sri-16
K07G5.5	K07G5.5
ZC123.3	ZC123.3
T15D6.7	T15D6.7
K04G2.2	K04G2.2
F39B2.3	F39B2.3
Y47G6A.6	pcaf-1
Y105E8A.22	exc-4
Y47G6A.19	Y47G6A.19
F56C11.4	F56C11.4
Y6B3B.4	Y6B3B.4
F25H2.11	tct-1
F56H1.6	F56H1.6
F21F3.6	F21F3.6
W04G5.5	W04G5.5
T23G11.2	gna-2
F25H5.4	eft-2
F28B3.4	F28B3.4
F46A9.4	skr-2
K05C4.6	hmp-2
Y44E3A.1	Y44E3A.1
H31B20.2	H31B20.2
Y71F9AL.12	Y71F9AL.12
F59A3.5	F59A3.5
R12E2.10	egg-5
F33H2.3	F33H2.3
C47B2.5	eif-6
D1081.2	unc-120
Y39G10AR.3	nekl-1
Y53C10A.5	Y53C10A.5
W02D3.4	W02D3.4
K10D3.3	taf-11.2
Y110A7A.8	Y110A7A.8
F26A3.2	ncbp-2
F55H12.4	F55H12.4
R06C7.9	R06C7.9
C09H6.1	spr-4
T22C1.10	rbg-2
C27A12.7	C27A12.7
F49D11.8	cpn-4
ZK265.5	sre-23
F28C12.1	sra-17
T21E12.5	T21E12.5
F28H1.1	F28H1.1
C34B2.6	C34B2.6
H26D21.1	hus-1
F26A3.1	F26A3.1
Y71A12C.2	Y71A12C.2
F16D3.6	F16D3.6
F33D11.4	ceh-12
B0511.10	eif-3.E
M04F3.5	M04F3.5
F29D10.3	F29D10.3
F26E4.6	F26E4.6
Y48G1C.6	Y48G1C.6
Y73E7A.5	Y73E7A.5
C01H6.3	C01H6.3
W03D8.1	W03D8.1
Y48G1C.1	Y48G1C.1
C35E7.2	C35E7.2
Y6B3B.9	Y6B3B.9
C15C6.4	C15C6.4
Y34D9A.8	Y34D9A.8
Y23H5A.2	Y23H5A.2
T05F1.3	rps-19
B0261.6	B0261.6
D2030.5	mce-1
F56H6.7	F56H6.7
Y39G10AR.21	Y39G10AR.21
M04C7.4	M04C7.4
F36A2.11	F36A2.11
C43E11.10	cdc-6
F30A10.11	F30A10.11
ZC434.3	ZC434.3
Y39G10AR.10	Y39G10AR.10
ZC328.2	ZC328.2
B0414.3	hil-5
F54A5.3	shc-1
F53F10.2	F53F10.2
B0205.4	B0205.4
T05F1.6	hsr-9
F54C1.9	sst-20
F22D6.4	nduf-6
R06A10.2	gsa-1
ZK1225.1	ZK1225.1
Y37H9A.1	Y37H9A.1
Y47G6A.1	inx-21
W09G3.6	W09G3.6
C54C8.1	nhr-169
C01A2.5	C01A2.5
F28B3.5	F28B3.5
K07G5.2	xpa-1
T21G5.5	asd-2
Y47G6A.14	Y47G6A.14
T21E3.1	egg-4
C36F7.1	irx-1
C10H11.10	kca-1
Y63D3A.5	tfg-1
C32F10.6	nhr-2
K02B12.8	zhp-3
F56G4.5	png-1
ZK973.2	ZK973.2
W05F2.5	fbxa-203
Y47G6A.33	Y47G6A.33
T22C1.2	glb-26
C36B1.9	C36B1.9
C50F2.4	C50F2.4
T23D8.3	T23D8.3
Y54E5A.8	Y54E5A.8
F44F1.3	F44F1.3
W03F11.2	gcy-17
Y71G12A.2	Y71G12A.2
F56H1.1	che-14
Y71F9B.5	lin-17
C32E8.1	C32E8.1
W04C9.5	W04C9.5
K02F2.6	ser-3
Y18D10A.7	ptr-17
F22D6.8	F22D6.8
F30F8.8	taf-5
C24A11.9	coq-1
Y47G6A.31	Y47G6A.31
F13G3.3	F13G3.3
W10C8.4	W10C8.4
Y71F9AL.7	Y71F9AL.7
Y39G10AR.17	Y39G10AR.17
ZK909.2	kin-1
B0205.8	B0205.8
Y37E3.17	Y37E3.17
F12B6.2	F12B6.2
Y37F4.5	Y37F4.5
Y65B4BL.1	Y65B4BL.1
Y54E10BL.5	nduf-5
ZC334.12	ZC334.12
Y18H1A.13	col-46
C11D9.1	C11D9.1
Y71F9B.8	Y71F9B.8
T08B2.3	T08B2.3
Y53H1B.4	Y53H1B.4
Y71F9AL.8	Y71F9AL.8
F32A7.8	F32A7.8
DY3.8	DY3.8
T23D8.8	cfi-1
F58D5.9	F58D5.9
F13G3.12	F13G3.12
T09B4.4	T09B4.4
F52B5.7	F52B5.7
T01G9.4	npp-2
F10D11.4	F10D11.4
Y18H1A.3	Y18H1A.3
Y18D10A.17	car-1
W10D5.1	mef-2
F27C1.11	F27C1.11
Y110A7A.20	Y110A7A.20
Y18D10A.22	Y18D10A.22
Y92H12A.3	Y92H12A.3
D1007.15	D1007.15
C31H5.4	C31H5.4
C10G11.6	C10G11.6
Y48G8AL.11	haf-6
R06C1.2	R06C1.2
Y71G12B.8	Y71G12B.8
K04H8.3	K04H8.3
Y105E8A.34	Y105E8A.34
H15N14.1	adr-1
W02D3.11	hrpf-1
F08A10.1	F08A10.1
Y71G12B.15	ubc-3
F47B3.2	F47B3.2
K07A1.15	K07A1.15
T09B4.1	T09B4.1
